keys,en,pt_BR
AUTO_FISH_SUFFIX_PLURAL,chunks,nacos
BEG,Beg,Mendigar
BUY_BAIT1,   Buy Worms   ,   Comprar Minhocas   
BAIT1,Worms,Minhocas
BUY_BAIT2,   Buy Hot Dog   ,   Comprar Hot Dog   
BAIT2,Hot Dog,Hot Dog
BUY_BAIT3,   Buy Gorgonzola   ,   Comprar Gorgonzola   
BAIT3,Gorgonzola,Gorgonzola
BUY_AUTOFISH,     Buy Windlass   ,     Comprar Molinete   
BUY_MONEYENGINE,     Hire Lackey   ,     Contratar Lacaio   
BUY_ROD,   Improve Rod   ,   Melhorar Vara   
BUY_ROPE,   Buy Line   ,   Comprar Linha   
FISH,Fish!,Pescar!
BUY_FREEDOM,     Buy Freedom     ,     Comprar Liberdade     
BUY_FREEDOM2,    Find Peace     ,     Encontrar Liberdade     
STUFF,--STUFF--,--MUAMBAS--
FISH_LOOT,--HAUL--,--PESCADOS--
BAITS,--BAITS--,--ISCAS--
NOURISH,Nourish,Nutrir
SELL,Sell,Vender
LOOT1,Lambari,Lambari
LOOT2,Crab,Carangueijo
LOOT3,Shark,Tubarão
LOOT4,Shrimp Bobó,Bobó de camarão
LOOT5,Tuna,Atum
LOOT6,Lemon ice cream,Sorvete de limão
LOOT7,Xylophone,Xilofone
LOOT8,CRT,TV de tubo
LOOT9,Nuclear submarine,Submarino nuclear
LOOT10,Weather satellite,Satélite metereológico
RQ1,Unhealthy,Insalúbre
RQ2,Rubicund,Rubicunda
RQ3,Brooding,Taciturna
RQ4,Kafkaesque,Kafkaesca
RQ5,Agnostic,Agnóstica
RQ6,Dilatory,Dilatória
RQ7,Deleterious,Deletéria
RQ8,Idiosyncratic,Idiossincrática
RQ9,Bellicose,Belicosa
RQ10,Iconoclastic,Iconoclasta
LL1,2 meters,2 metros
LL2,13 feet,13 pés
LL3,1968.5 inches,"1968,5 polegadas"
LL4,.03 miles,.03 milhas
LL5,several decameters,varios decâmetros
LL6,60 FPS,60 FPS
LL7,two thousand skittles lined up,duas mil 7belos alinhadas
LL8,250 amps,250 ampères
LL9,7 small gorillas,7 gorilas pequenos
LL10,7 average gorillas,7 gorilas medianos
LL11,more than a hectometer,mais de um hectômetro
LL12,200 megabytes,200 megabytes
LL13,a notable amount of spaghetti,uma porrada de espaguete
LL14,2 space needles,2 maracanãs
LL15,extended large intestine,intestino grosso extendido
LL16,mother's love,amor de mãe
LL17,light-working week,semana útil-luz
LL18,2 parsecs,2 parsecs
LL19,1 siriometer,1 siriômetro
LL20,"really big, like, the biggest","grandão, tipo, pra caramba"
D1_1,Do you think these worms are tasty?,Você acha que essas minhocas são gostosas?
D1_2,Flavor is not of importance to my being. I care only for nourishment.,Sabor não tem importância para o meu ser.  Eu me importo apenas com nutrição.
D1_3,Haha yeah I guess.,"Haha é, boto fé."
D2_1,"Like my aunt always said: If you love fish, you better love getting wet.","Como minha tia sempre dizia: Se você adora peixe, é melhor adorar se molhar."
D3_1,"I crave sustenance, human.","Eu anseio por sustento, humano."
D3_2,"Don't worry pal, we'll get you something soon enough.","Não se preocupe, amigo, em breve conseguiremos algo pra você."
D4_1,Slow day today huh?,"Dia lento hoje, né?"
D4_2,Time is a concept my species have conquered eons ago.,O tempo é um conceito que a minha espécie conquistou há milhares de anos.
D4_3,We have clocks too you know,"A gente também tem relógios, cara"
D5_1,"Hey, what do you think is bigger, the ocean or the whole sky?","Ei, o que você acha que é maior, o oceano ou os céus?"
D5_2,Nigh-Infinite galaxies exist far beyond your tiny solar system human.,"Galáxias quase infinitas existem muito além de seu minúsculo sistema solar, humano."
D5_3,Hmm I think it's the ocean.,"Hmm, eu acho que é o oceano."
D6_1,Ouch! I think a crab bit me!,Ai!  Acho que um caranguejo me mordeu!
D6_2,Pain and suffering are what brings us closer to a higher meaning.,Dor e sofrimento são o que nos aproxima de um significado superior.
D6_3,"Still hurts, though...","Pô, ta doenda ainda..."
D7_1,Give someone a fish and you'll feed them for a day...,Dê um peixe a alguém e você o alimentará por um dia...
D7_2,...but teach them how fish and you can sell masterclasses for life!,...mas ensine-o a pescar e você poderá vender aulas online pro resto da vida!
D8_1,Ocean Fact #7:,Fato oceânico nº7:
D8_2,"Goblin sharks are, indeed, goblins!","Os tubarões-duendes são, de fato, duendes!"
D9_1,"Like my aunt always said: ""Don't hate the player, hate the game!""","Como minha tia sempre dizia: ""Não odeie o jogador, odeie o jogo!"""
D9_2,Never quite got that one...,Nunca entendi muito bem essa...
D10_1,Knock Knock.,Toc Toc.
D10_2,Who is it?,Quem se apresenta?
D10_3,Tuna!,Atum!
D10_4,"What is a ""tuna""?","O que é uma ""atum""?"
D10_5,That's not how that works buddy.,"Não é assim que a piada funciona, amigo."
D11_1,"Hey, what do you want to do after this?","Ei, o que você quer fazer depois disso?"
D11_2,An unrelenting epoch of destruction and dismay is upon us. I will scorch the earth.,Uma período implacável de destruição e consternação nos aproxima.  Irei incendiar toda a Terra.
D11_3,Cool. I was thinking maybe bowling or something.,Legal.  Eu estava pensando em tipo boliche ou algo parecido.
D12_1,Ocean Fact #12:,Fato oceânico nº12:
D12_2,Great white sharks aren't so great after all.,Os grandes tubarões brancos não são lá tão grantes.
D13_1,Look at this buddy! I think I've fished ourselves a sea-worn typewriter.,Olha só amigo!  Acho que pescamos uma máquina de escrever desgastada pelo mar.
D13_2,Does it possess the power to satiate my hunger?,Tal artefato tem o poder de saciar minha fome?
D13_3,"Afraid not, it's a feast for thought, not the belly.","Receio que não, é um banquete para a mente, não para a barriga."
D14_1,"Damn, look at those stars! Ain't nature a beauty?","Uou, olhe para aquelas estrelas!  A natureza é uma beleza, né?"
D14_2,"A fleeting display of grace, painted by cosmic forces.","Uma fugaz demonstração de charme, pintada por forças cósmicas."
D14_3,It pales in comparison to my appetite.,É insignificante quando comparada à meu apetite.
D14_4,"Ha! You always keep me grounded, don't ya, friend?","Ha! Você sempre me deixa com os pés no chão, né amigão?"
D15_1,Ocean Fact #16:,Fato oceânico nº16:
D15_2,Hammerhead sharks eat nails for sustenance!,Os tubarões-martelo comem pregos para se sustentar!
D15_3,I sometimes question the source of your knowledge.,Às vezes questiono a fonte de seu conhecimento.
D16_1,Is it true that mermaids can enchant sailors with their songs?,É verdade que as sereias conseguem encantar os marinheiros com suas canções?
D16_2,"A common myth, human, perpetuated by maritime folklore. Such magic does not exist.","Um mito comum, humano, perpetuado pelo folclore marítimo.  Essa magia não existe."
D16_3,"I guess you haven't heard my rendition of ""Sea Shanties Greatest Hits"" yet.",Você só diz isso porque ainda não ouviu minha gravação de “Top Cantigas Marítimas”.
D17_1,Like my aunt always said:,Como minha tia sempre dizia:
D17_2,"""Don't eat the seeds or something will grow inside of you.""","""Não coma as sementes ou vai crescer algo dentro de você."""
D17_3,I mean... she was half right.,Bom... ela acertou metade dessa.
D18_1,Ocean Fact #23:,Fato oceânico nº23:
D18_2,Zebra sharks were named by a scientist who never actually saw a zebra.,Os tubarões-zebra foram nomeados por um cientista que nunca viu uma zebra.
D19_1,"Caught one that's too small for us, pal. What do you say we let it grow?","Peguei um pequeno demais para nós, amigo.  O que você acha de jogar ele de volta?"
D19_2,"Growth is the essence of life, human.","O crescimento é a essência da vida, humana."
D19_3,May it thrive and nourish our future endeavors.,Que ele prospere e alimente nossos desejos futuros.
D19_4,"Wise words, as always, my ancient hungry friend.","Palavras sábias, como sempre, meu amigo ancião faminto."
D20_1,"The ocean's depths hold secrets, and my appetite yearns for their discovery.",As profundezas do oceano guardam segredos e o meu apetite anseia pela sua descoberta.
D20_2,I'm pretty sure you just want another plate of crabs.,Tenho certeza que você só quer outro prato de caranguejos.
D20_3,Hmm yes those too.,"Hmm, sim, esses também."
D21_1,"Human, the stars above look like celestial delicacies to my eyes.","Humano, as estrelas acima parecem iguarias celestiais para meus olhos."
D21_2,"Stars as snacks? You're a peculiar one, pal.","Lanchar estrelas?  Você é bem peculiar as vezes, amigão."
D22_1,"Hey buddy, we've been doing this for quite some time, right? Can I call you Yogs?","Ei amigo, já fazemos isso há algum tempo, né?  Posso chamar vocês de Yogs?"
D22_2,"""Yog"" is but a simplification of my name that your kind couldn't even begin to comprehend. But as long as you keep feeding me, do as you will.","""Yog"" é apenas uma simplificação do meu nome que sua espécie nem sequer poderia começar a compreender.  Mas enquanto você continuar me alimentando, faça o que quiser."
D22_3,"Oh yeah, Yoggers!","Ai sim, Yoggers!"
D23_1,Behold the radiant celestial orb that graces our nightly firmament...,Contemple a radiante orbe celestial que enfeita nosso firmamento noturno...
D23_2,Its luminous presence casts a silvery radiance upon the tranquil waters...,A sua presença luminosa lança um brilho prateado sobre as calmas águas...
D23_3,...orchestrating the dance of the tides and illuminating the mysteries of our existence.,...orquestrando a dança das marés e iluminando os mistérios da nossa existência.
D23_4,Yeah. We call that the Moon buddy.,"É... Chamamos isso de Lua, amigo."
D24_1,Knock Knock.,Toc Toc.
D24_2,Who's there?,Quem tá aí?
D24_3,Existential dread.,Temor existencial.
D24_4,Existential dread who?,Temor existencial quem?
D24_5,"It's not who, but where. Everywhere, as certain as the finality of life.","Não é quem, mas onde.  Em todos os lugares, tão certo quanto a finalidade da vida."
D24_6,Hah! Good one buddy.,Hah!  Boa amigo.
D25_1,"Time is nigh my dear human. Keep feeding me and I'll soon be free from this cocoon, ready to fullfil my cosmic purpose.","A hora está próxima, meu querido humano.  Continue me alimentando e logo estarei livre deste casulo, pronto para cumprir meu propósito cósmico."
D25_2,Anything special I can do to help?,Posso fazer alguma coisa especial pra ajudar?
D25_3,Arrange a few more of those tiny legged creatures. They satiate me the most.,Arranje mais algumas dessas pequenas criaturas com pequenas pernas.  Eles me saciam mais.
D25_4,Crab buffet coming right up buddy!,"Buffet de caranguejo no caminho, amigo!"
D26_1,"Like my aunt always said: ""No use wasting tears over the ocean....""",Como minha tia sempre dizia: “Não adianta desperdiçar lágrimas no oceano...”
D26_2,I miss you Lily...,"Saudades de você, Lily..."
D27_1,Ocean Fact #42:,Fato oceânico nº42:
D27_2,Sharks always swim forwards because they are afraid of looking back at their past.,Os tubarões sempre nadam para frente porque têm medo de olhar para o passado.
D28_1,"You know, the sea's vastness reminds me that nothing lasts forever. ","Sabe, a vastidão do mar me lembra que nada dura para sempre."
D28_2,Not even us huh.,"Nem mesmo a gente, né?"
D28_3,"Time is relentless, and our fate is entwined. One day, this bond shall unravel.","O tempo é implacável e nosso destino entrelaçado.  Um dia, esse vínculo se desfará."
D28_4,"I know, old friend. That's why I cherish every moment with you.","Eu sei, velho amigo.  É por isso que aprecio cada momento com você."
D29_1,Do you think it makes sense for us to fish so many creatures just to feed both of us?,Você acha que faz sentido pescarmos tantas criaturas só para alimentar nós dois?
D29_2,"Human, the ocean offers its bounty to those who dare cast their lines, and in return, it is our duty to honor its ancient pact.","Humano, o oceano oferece a sua recompensa àqueles que ousam lançar as suas linhas e, em troca, é nosso dever honrar o seu antigo pacto."
D29_3,Through nourishment I'll grow ever stronger so one day I can consume it all.,Através da alimentação ficarei cada vez mais forte para que um dia possa consumir tudo.
D29_4,Buddy! You can just say you're hungry!,Amigão! Você pode só dizer que tá com fome!
D30_1,You ever think about what'll happen when you finally... you know...,Você já pensou no que acontecerá quando você finalmente... você sabe...
D30_2,"The end is a shadow that looms closer with each passing day, a truth we both must face.","O fim é uma sombra que se aproxima a cada dia que passa, uma verdade que ambos devemos enfrentar."
D30_3,"Well, then, let's enjoy the ride, my hungry friend.","Bem, então vamos aproveitar a jornada, meu amigo faminto."
D31_1,Do you think what happened to the world was humankind's fault?,Você acha que o que aconteceu com o mundo foi culpa da humanidade?
D31_2,"Your kind is not unlike me. It seeks only to consume, never being fully sated. They couldn't even see the end as it stared right back at them.","Sua espécie não é diferente de mim.  Procura apenas consumir, nunca ficando totalmente saciado.  Eles nem conseguiam ver o fim, mesmo quando ele estava olhando de volta o tempo todo."
D31_3,So you're saying I'm like you then? Wonder if I can eat an entire submarine.,Então você está dizendo que sou como você?  Será que eu consigo comer um submarino inteiro?
D31_4,That's... Not even close to what I meant...,Isso é... Nem perto do que eu quis dizer...
D32_1,"They say legends are born from the tales of the sea. What's our legend, buddy?","Dizem que as lendas nascem dos contos do mar.  Qual é a nossa lenda, amigo?"
D32_2,"Our tale is one of an unlikely partnership, forged at the edge of the world.","Nossa história é a de uma parceria improvável, forjada no fim do mundo."
D32_3,A place where the ethereal currents of destiny intertwined the threads of your mortality with my insatiable hunger.,Um lugar onde as correntes etéreas do destino entrelaçaram os fios da sua mortalidade com a minha fome insaciável.
D32_4,"And, in peculiar fashion, a chronicle of the amicable bond formed between a humble fisherman and an otherworldly cosmic entity.","E, de forma peculiar, uma crônica do vínculo amigável formado entre um humilde pescador e uma entidade cósmica sobrenatural."
D32_5,"Heh well, that's a tale I'll be proud to tell, friend.","Bem, essa é uma história que terei orgulho de contar, amigo."
DS1_1,"You know, human, when your heart brims with elation, the tides of the cosmos respond in kind...","Sabe, humano, quando seu coração transborda júbilo, as marés do cosmos respondem similarmente..."
DS1_2,...and a particular pungent offering could beckon the mysteries of the deep.,...e uma oferenda particularmente pungente poderia atrair os mistérios das profundezas.
DS1_3,"Your enigmas never fail to intrigue me, pal. Alright, I'll see if I can figure that one out.","Seus enigmas nunca deixam de me intrigar, amigo. Tudo bem, vou ver se desvendo essa aí."
DS2_1,"You know human, the joyless heart can unearth treasures hidden within the depths...","Você sabe, humano, o coração desolado pode desenterrar tesouros escondidos nas profundezas..."
DS2_2,"...especially when you offer a small, wriggling treat to the black abyss.",...especialmente quando você oferece um pequeno presente se contorcendo ao abismo negro.
DS2_3,"Treasures, treats... you're speaking in riddles again, my friend. I'll give it a try, though.","Tesouros, presentes... você está falando em charadas de novo, meu amigo. Vou ver se tento algo."
END1_1,I guess this is it huh?,"Bom, acho que é isso, né?"
END1_2,"Fear not human, for the end is inevitable, and thine flame would be devoured, if not by me, then by the cosmos.","Não tema humano, pois o fim é inevitável, e tua chama seria engolida, se não por mim, então pelos cosmos."
END1_3,Be glad that you took part in something far greater than your human existence could ever fathom.,Sinta-se afortunado por ter participado de algo muito maior do que sua existência humana poderia sequer imaginar.
END1_4,Haha yeah... But it was fun right? Did you... enjoy our time together?,Haha é... Mas foi divertido né? Você... gostou do nosso tempo juntos?
END1_5,".......Yes, it was quite... pleasant at times.",".......Sim, foi bastante... agradável em inúmeras ocasiões."
END1_6,Yeah... I'll miss you buddy. Take care.,"É... vou sentir sua falta, amigo. Se cuida."
END1_7,...Goodbye Ahab. Your efforts won't be forgotten during my reign.,...Adeus Ahab. Seus esforços não serão esquecidos durante meu reinado.
END1_FINAL,"Finally sated, the beast bids farewell to its wearied host...","Finalmente saciada, a fera se despede de seu cansado hospedeiro..."
END2_1,I guess this is it huh?,"Bom, acho que é isso, né?"
END2_2,"Fear not human, for the end is inevitable, and thine flame would be devoured, if not by me, then by the cosmos.","Não tema humano, pois o fim é inevitável, e tua chama seria engolida, se não por mim, então pelos cosmos."
END2_3,Be glad that you took part in something far greater than your human existence could ever fathom.,Sinta-se afortunado por ter participado de algo muito maior do que sua existência humana poderia sequer imaginar.
END2_4,Haha yeah... But it was fun right? Did you... enjoy our time together?,Haha é... Mas foi divertido né? Você... gostou do nosso tempo juntos?
END2_5,".......Yes, it was quite... pleasant at times.",".......Sim, foi bastante... agradável em inúmeras ocasiões."
END2_6,...Unless... I don't know... We could stick together a bit longer...,...A menos que... sei lá... Poderíamos ficar juntos um pouquinho mais...
END2_7,"Oh, really? But don't you have to ""devour the Earth"" or something?",Sério? Mas você não precisa “devorar a Terra” ou algo do tipo?
END2_8,I could devour a few more crabs before that... I'm not in a hurry.,Eu poderia devorar mais alguns caranguejos antes disso... não estou com pressa.
END2_9,Sure thing Yogs! I'm pretty hungry too. Plenty of fish coming right up!,"Claro, Yogs! Tô com muita fome também. Um pratão de peixes a caminho!"
END2_FINAL,"With the cosmic destiny on hold, both of our characters decide to extend their journey, finding solace in the simple pleasures of life, at the Edge of the World.","Com o destino cósmico colocado em espera, ambos os nossos personagens decidem prolongar a sua viagem, encontrando consolo nos prazeres simples da vida, no Fim do Mundo."
